cycle,node,rst_n,rq_valid,rq_ch,rq_dst_x,rq_dst_y,rq_last,rq_tag,rq_ej_ready,rs_valid,rs_dst_x,rs_dst_y,rs_tag,rs_ej_ready
0,0,0,0,2,0,0,1,0,1,0,0,0,0,1
0,1,0,0,2,0,0,1,0,1,0,0,0,0,1
0,2,0,0,2,0,0,1,0,1,0,0,0,0,1
0,3,0,0,2,0,0,1,0,1,0,0,0,0,1
0,4,0,0,2,0,0,1,0,1,0,0,0,0,1
0,5,0,0,2,0,0,1,0,1,0,0,0,0,1
0,6,0,0,2,0,0,1,0,1,0,0,0,0,1
0,7,0,0,2,0,0,1,0,1,0,0,0,0,1
0,8,0,0,2,0,0,1,0,1,0,0,0,0,1
1,0,0,0,2,0,0,1,0,1,0,0,0,0,1
1,1,0,0,2,0,0,1,0,1,0,0,0,0,1
1,2,0,0,2,0,0,1,0,1,0,0,0,0,1
1,3,0,0,2,0,0,1,0,1,0,0,0,0,1
1,4,0,0,2,0,0,1,0,1,0,0,0,0,1
1,5,0,0,2,0,0,1,0,1,0,0,0,0,1
1,6,0,0,2,0,0,1,0,1,0,0,0,0,1
1,7,0,0,2,0,0,1,0,1,0,0,0,0,1
1,8,0,0,2,0,0,1,0,1,0,0,0,0,1
2,0,0,0,2,0,0,1,0,1,0,0,0,0,1
2,1,0,0,2,0,0,1,0,1,0,0,0,0,1
2,2,0,0,2,0,0,1,0,1,0,0,0,0,1
2,3,0,0,2,0,0,1,0,1,0,0,0,0,1
2,4,0,0,2,0,0,1,0,1,0,0,0,0,1
2,5,0,0,2,0,0,1,0,1,0,0,0,0,1
2,6,0,0,2,0,0,1,0,1,0,0,0,0,1
2,7,0,0,2,0,0,1,0,1,0,0,0,0,1
2,8,0,0,2,0,0,1,0,1,0,0,0,0,1
3,0,0,0,2,0,0,1,0,1,0,0,0,0,1
3,1,0,0,2,0,0,1,0,1,0,0,0,0,1
3,2,0,0,2,0,0,1,0,1,0,0,0,0,1
3,3,0,0,2,0,0,1,0,1,0,0,0,0,1
3,4,0,0,2,0,0,1,0,1,0,0,0,0,1
3,5,0,0,2,0,0,1,0,1,0,0,0,0,1
3,6,0,0,2,0,0,1,0,1,0,0,0,0,1
3,7,0,0,2,0,0,1,0,1,0,0,0,0,1
3,8,0,0,2,0,0,1,0,1,0,0,0,0,1
4,0,1,0,2,0,0,1,0,1,0,0,0,0,1
4,1,1,0,2,0,0,1,0,1,0,0,0,0,1
4,2,1,0,2,0,0,1,0,1,0,0,0,0,1
4,3,1,0,2,0,0,1,0,1,0,0,0,0,1
4,4,1,0,2,0,0,1,0,1,0,0,0,0,1
4,5,1,0,2,0,0,1,0,1,0,0,0,0,1
4,6,1,0,2,0,0,1,0,1,0,0,0,0,1
4,7,1,0,2,0,0,1,0,1,0,0,0,0,1
4,8,1,0,2,0,0,1,0,1,0,0,0,0,1
5,0,1,0,2,0,0,1,0,1,0,0,0,0,1
5,1,1,0,2,0,0,1,0,1,0,0,0,0,1
5,2,1,0,2,0,0,1,0,1,0,0,0,0,1
5,3,1,0,2,0,0,1,0,1,0,0,0,0,1
5,4,1,0,2,0,0,1,0,1,0,0,0,0,1
5,5,1,0,2,0,0,1,0,1,0,0,0,0,1
5,6,1,0,2,0,0,1,0,1,0,0,0,0,1
5,7,1,0,2,0,0,1,0,1,0,0,0,0,1
5,8,1,0,2,0,0,1,0,1,0,0,0,0,1
6,0,1,1,2,1,0,1,10,1,0,0,0,0,1
6,1,1,0,2,0,0,1,0,1,0,0,0,0,1
6,2,1,0,2,0,0,1,0,1,0,0,0,0,1
6,3,1,0,2,0,0,1,0,1,0,0,0,0,1
6,4,1,0,2,0,0,1,0,1,0,0,0,0,1
6,5,1,0,2,0,0,1,0,1,0,0,0,0,1
6,6,1,0,2,0,0,1,0,1,0,0,0,0,1
6,7,1,0,2,0,0,1,0,1,0,0,0,0,1
6,8,1,0,2,0,0,1,0,1,0,0,0,0,1
7,0,1,0,2,0,0,1,0,1,0,0,0,0,1
7,1,1,0,2,0,0,1,0,1,0,0,0,0,1
7,2,1,0,2,0,0,1,0,1,0,0,0,0,1
7,3,1,0,2,0,0,1,0,1,0,0,0,0,1
7,4,1,0,2,0,0,1,0,1,0,0,0,0,1
7,5,1,0,2,0,0,1,0,1,0,0,0,0,1
7,6,1,0,2,0,0,1,0,1,0,0,0,0,1
7,7,1,0,2,0,0,1,0,1,0,0,0,0,1
7,8,1,0,2,0,0,1,0,1,0,0,0,0,1
8,0,1,0,2,0,0,1,0,1,0,0,0,0,1
8,1,1,0,2,0,0,1,0,1,0,0,0,0,1
8,2,1,0,2,0,0,1,0,1,0,0,0,0,1
8,3,1,0,2,0,0,1,0,1,0,0,0,0,1
8,4,1,0,2,0,0,1,0,1,0,0,0,0,1
8,5,1,0,2,0,0,1,0,1,0,0,0,0,1
8,6,1,0,2,0,0,1,0,1,0,0,0,0,1
8,7,1,0,2,0,0,1,0,1,0,0,0,0,1
8,8,1,0,2,0,0,1,0,1,0,0,0,0,1
9,0,1,0,2,0,0,1,0,1,0,0,0,0,1
9,1,1,0,2,0,0,1,0,1,0,0,0,0,1
9,2,1,0,2,0,0,1,0,1,0,0,0,0,1
9,3,1,0,2,0,0,1,0,1,0,0,0,0,1
9,4,1,0,2,0,0,1,0,1,0,0,0,0,1
9,5,1,0,2,0,0,1,0,1,0,0,0,0,1
9,6,1,0,2,0,0,1,0,1,0,0,0,0,1
9,7,1,0,2,0,0,1,0,1,0,0,0,0,1
9,8,1,0,2,0,0,1,0,1,0,0,0,0,1
10,0,1,0,2,0,0,1,0,1,0,0,0,0,1
10,1,1,0,2,0,0,1,0,1,0,0,0,0,1
10,2,1,0,2,0,0,1,0,1,0,0,0,0,1
10,3,1,0,2,0,0,1,0,1,0,0,0,0,1
10,4,1,0,2,0,0,1,0,1,0,0,0,0,1
10,5,1,0,2,0,0,1,0,1,0,0,0,0,1
10,6,1,0,2,0,0,1,0,1,0,0,0,0,1
10,7,1,0,2,0,0,1,0,1,0,0,0,0,1
10,8,1,0,2,0,0,1,0,1,0,0,0,0,1
11,0,1,0,2,0,0,1,0,1,0,0,0,0,1
11,1,1,0,2,0,0,1,0,1,0,0,0,0,1
11,2,1,0,2,0,0,1,0,1,0,0,0,0,1
11,3,1,0,2,0,0,1,0,1,0,0,0,0,1
11,4,1,0,2,0,0,1,0,1,0,0,0,0,1
11,5,1,0,2,0,0,1,0,1,0,0,0,0,1
11,6,1,0,2,0,0,1,0,1,0,0,0,0,1
11,7,1,0,2,0,0,1,0,1,0,0,0,0,1
11,8,1,0,2,0,0,1,0,1,0,0,0,0,1
12,0,1,0,2,0,0,1,0,1,0,0,0,0,1
12,1,1,0,2,0,0,1,0,1,0,0,0,0,1
12,2,1,0,2,0,0,1,0,1,0,0,0,0,1
12,3,1,0,2,0,0,1,0,1,0,0,0,0,1
12,4,1,0,2,0,0,1,0,1,0,0,0,0,1
12,5,1,0,2,0,0,1,0,1,0,0,0,0,1
12,6,1,0,2,0,0,1,0,1,0,0,0,0,1
12,7,1,0,2,0,0,1,0,1,0,0,0,0,1
12,8,1,0,2,0,0,1,0,1,0,0,0,0,1
13,0,1,1,2,2,2,1,11,1,0,0,0,0,1
13,1,1,0,2,0,0,1,0,1,0,0,0,0,1
13,2,1,0,2,0,0,1,0,1,0,0,0,0,1
13,3,1,0,2,0,0,1,0,1,0,0,0,0,1
13,4,1,0,2,0,0,1,0,1,0,0,0,0,1
13,5,1,0,2,0,0,1,0,1,0,0,0,0,1
13,6,1,0,2,0,0,1,0,1,0,0,0,0,1
13,7,1,0,2,0,0,1,0,1,0,0,0,0,1
13,8,1,0,2,0,0,1,0,1,0,0,0,0,1
14,0,1,0,2,0,0,1,0,1,0,0,0,0,1
14,1,1,0,2,0,0,1,0,1,0,0,0,0,1
14,2,1,0,2,0,0,1,0,1,0,0,0,0,1
14,3,1,0,2,0,0,1,0,1,0,0,0,0,1
14,4,1,0,2,0,0,1,0,1,0,0,0,0,1
14,5,1,0,2,0,0,1,0,1,0,0,0,0,1
14,6,1,0,2,0,0,1,0,1,0,0,0,0,1
14,7,1,0,2,0,0,1,0,1,0,0,0,0,1
14,8,1,0,2,0,0,1,0,1,0,0,0,0,1
15,0,1,0,2,0,0,1,0,1,0,0,0,0,1
15,1,1,0,2,0,0,1,0,1,0,0,0,0,1
15,2,1,0,2,0,0,1,0,1,0,0,0,0,1
15,3,1,0,2,0,0,1,0,1,0,0,0,0,1
15,4,1,0,2,0,0,1,0,1,0,0,0,0,1
15,5,1,0,2,0,0,1,0,1,0,0,0,0,1
15,6,1,0,2,0,0,1,0,1,0,0,0,0,1
15,7,1,0,2,0,0,1,0,1,0,0,0,0,1
15,8,1,0,2,0,0,1,0,1,0,0,0,0,1
16,0,1,0,2,0,0,1,0,1,0,0,0,0,1
16,1,1,0,2,0,0,1,0,1,0,0,0,0,1
16,2,1,0,2,0,0,1,0,1,0,0,0,0,1
16,3,1,0,2,0,0,1,0,1,0,0,0,0,1
16,4,1,0,2,0,0,1,0,1,0,0,0,0,1
16,5,1,0,2,0,0,1,0,1,0,0,0,0,1
16,6,1,0,2,0,0,1,0,1,0,0,0,0,1
16,7,1,0,2,0,0,1,0,1,0,0,0,0,1
16,8,1,0,2,0,0,1,0,1,0,0,0,0,1
17,0,1,0,2,0,0,1,0,1,0,0,0,0,1
17,1,1,0,2,0,0,1,0,1,0,0,0,0,1
